time	V(vo)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
4.995000000000365e-008	0.000000e+000	0.000000e+000
4.999999999999995e-008	2.123411e-007	9.980031e+000
5.000009999999988e-008	5.673753e-007	1.999998e+001
5.000099999999997e-008	2.148930e-005	1.999991e+002
5.337585967252033e-008	1.413172e-001	1.943473e+002
5.675071934504069e-008	2.788791e-001	1.888448e+002
6.012557901756106e-008	4.127072e-001	1.834917e+002
6.350043869008142e-008	5.428015e-001	1.782879e+002
6.687529836260177e-008	6.691620e-001	1.732335e+002
7.025015803512213e-008	7.917887e-001	1.683285e+002
7.362501770764249e-008	9.106816e-001	1.635727e+002
7.743930342192850e-008	1.040981e+000	1.583608e+002
8.125358913621449e-008	1.167428e+000	1.533029e+002
8.506787485050049e-008	1.290025e+000	1.483990e+002
8.888216056478649e-008	1.408770e+000	1.436492e+002
9.269644627907250e-008	1.523665e+000	1.390534e+002
9.651073199335850e-008	1.634708e+000	1.346117e+002
1.003250177076445e-007	1.741900e+000	1.303240e+002
1.004250177076445e-007	1.744671e+000	1.302131e+002
1.111821605647882e-007	2.024706e+000	1.190117e+002
1.219393034219318e-007	2.284743e+000	1.086103e+002
1.326964462790755e-007	2.524781e+000	9.900875e+001
1.434535891362192e-007	2.744821e+000	9.020715e+001
1.542107319933629e-007	2.944863e+000	8.220550e+001
1.649678748505065e-007	3.124906e+000	7.500378e+001
1.757250177076502e-007	3.284950e+000	6.860199e+001
1.795821605647933e-007	3.340198e+000	6.639207e+001
1.834393034219365e-007	3.393797e+000	6.424812e+001
1.872964462790796e-007	3.445746e+000	6.217017e+001
1.911535891362228e-007	3.496045e+000	6.015820e+001
1.950107319933659e-007	3.544695e+000	5.821221e+001
1.988678748505091e-007	3.591695e+000	5.633220e+001
2.027250177076522e-007	3.637045e+000	5.451818e+001
2.028250177076522e-007	3.638205e+000	5.447181e+001
2.135821605647959e-007	3.755351e+000	4.978595e+001
2.243393034219395e-007	3.864132e+000	4.543472e+001
2.350964462790832e-007	3.964547e+000	4.141813e+001
2.458535891362269e-007	4.056595e+000	3.773618e+001
2.566107319933706e-007	4.140278e+000	3.438886e+001
2.673678748505142e-007	4.215595e+000	3.137618e+001
2.781250177076579e-007	4.282547e+000	2.869814e+001
2.819821605648010e-007	4.305658e+000	2.777366e+001
2.858393034219442e-007	4.328080e+000	2.687679e+001
2.896964462790873e-007	4.349812e+000	2.600752e+001
2.935535891362305e-007	4.370853e+000	2.516586e+001
2.974107319933736e-007	4.391205e+000	2.435180e+001
3.012678748505168e-007	4.410867e+000	2.356534e+001
3.051250177076599e-007	4.429838e+000	2.280648e+001
3.052250177076599e-007	4.430323e+000	2.278708e+001
3.159821605648036e-007	4.479329e+000	2.082686e+001
3.267393034219472e-007	4.524835e+000	1.900662e+001
3.374964462790909e-007	4.566841e+000	1.732637e+001
3.482535891362346e-007	4.605347e+000	1.578610e+001
3.590107319933783e-007	4.640354e+000	1.438583e+001
3.697678748505219e-007	4.671862e+000	1.312554e+001
3.805250177076655e-007	4.699869e+000	1.200523e+001
3.843821605648087e-007	4.709537e+000	1.161850e+001
3.882393034219519e-007	4.718917e+000	1.124331e+001
3.920964462790950e-007	4.728008e+000	1.087968e+001
3.959535891362382e-007	4.736810e+000	1.052758e+001
3.998107319933813e-007	4.745324e+000	1.018704e+001
4.036678748505245e-007	4.753549e+000	9.858042e+000
4.075250177076676e-007	4.761485e+000	9.540591e+000
4.076250177076676e-007	4.761688e+000	9.532475e+000
4.183821605648113e-007	4.782189e+000	8.712458e+000
4.291393034219549e-007	4.801225e+000	7.951001e+000
4.398964462790986e-007	4.818797e+000	7.248104e+000
4.506535891362423e-007	4.834906e+000	6.603769e+000
4.614107319933860e-007	4.849550e+000	6.017994e+000
4.721678748505296e-007	4.862730e+000	5.490779e+000
4.829250177076732e-007	4.874447e+000	5.022126e+000
4.867821605648164e-007	4.878491e+000	4.860344e+000
4.906393034219595e-007	4.882415e+000	4.703394e+000
4.944964462791027e-007	4.886218e+000	4.551273e+000
4.983535891362458e-007	4.889900e+000	4.403983e+000
5.022107319933890e-007	4.893462e+000	4.261524e+000
5.060678748505321e-007	4.896903e+000	4.123895e+000
5.099250177076753e-007	4.900223e+000	3.991097e+000
5.100250177076753e-007	4.900308e+000	3.987701e+000
5.207821605648190e-007	4.908883e+000	3.644665e+000
5.315393034219627e-007	4.916847e+000	3.326126e+000
5.422964462791063e-007	4.924198e+000	3.032085e+000
5.530535891362500e-007	4.930937e+000	2.762541e+000
5.638107319933937e-007	4.937063e+000	2.517495e+000
5.745678748505372e-007	4.942576e+000	2.296947e+000
5.853250177076809e-007	4.947478e+000	2.100896e+000
5.891821605648241e-007	4.949170e+000	2.033218e+000
5.930393034219672e-007	4.950811e+000	1.967561e+000
5.968964462791104e-007	4.952402e+000	1.903925e+000
6.007535891362535e-007	4.953942e+000	1.842310e+000
6.046107319933967e-007	4.955432e+000	1.782715e+000
6.084678748505398e-007	4.956872e+000	1.725141e+000
6.123250177076830e-007	4.958261e+000	1.669588e+000
6.124250177076830e-007	4.958296e+000	1.668167e+000
6.231821605648267e-007	4.961883e+000	1.524666e+000
6.339393034219704e-007	4.965215e+000	1.391412e+000
6.446964462791140e-007	4.968290e+000	1.268406e+000
6.554535891362576e-007	4.971109e+000	1.155649e+000
6.662107319934013e-007	4.973671e+000	1.053139e+000
6.769678748505449e-007	4.975978e+000	9.608773e-001
6.877250177076886e-007	4.978028e+000	8.788636e-001
6.915821605648318e-007	4.978736e+000	8.505522e-001
6.954393034219749e-007	4.979423e+000	8.230860e-001
6.992964462791181e-007	4.980089e+000	7.964652e-001
7.031535891362612e-007	4.980733e+000	7.706897e-001
7.070107319934044e-007	4.981356e+000	7.457596e-001
7.108678748505475e-007	4.981958e+000	7.216748e-001
7.147250177076907e-007	4.982539e+000	6.984352e-001
7.148250177076907e-007	4.982554e+000	6.978411e-001
7.255821605648344e-007	4.984055e+000	6.378103e-001
7.363393034219781e-007	4.985448e+000	5.820666e-001
7.470964462791216e-007	4.986735e+000	5.306099e-001
7.578535891362653e-007	4.987914e+000	4.834402e-001
7.686107319934090e-007	4.988986e+000	4.405575e-001
7.793678748505526e-007	4.989951e+000	4.019619e-001
7.901250177076963e-007	4.990808e+000	3.676533e-001
7.939821605648395e-007	4.991105e+000	3.558098e-001
7.978393034219826e-007	4.991392e+000	3.443199e-001
8.016964462791257e-007	4.991671e+000	3.331837e-001
8.055535891362689e-007	4.991940e+000	3.224011e-001
8.094107319934121e-007	4.992201e+000	3.119721e-001
8.132678748505552e-007	4.992453e+000	3.018968e-001
8.171250177076984e-007	4.992696e+000	2.921751e-001
8.172250177076984e-007	4.992702e+000	2.919265e-001
8.279821605648421e-007	4.993330e+000	2.668139e-001
8.387393034219857e-007	4.993913e+000	2.434948e-001
8.494964462791293e-007	4.994451e+000	2.219690e-001
8.602535891362730e-007	4.994944e+000	2.022366e-001
8.710107319934167e-007	4.995392e+000	1.842975e-001
8.817678748505603e-007	4.995796e+000	1.681519e-001
8.925250177077040e-007	4.996155e+000	1.537997e-001
8.963821605648472e-007	4.996279e+000	1.488452e-001
9.002393034219903e-007	4.996399e+000	1.440387e-001
9.040964462791334e-007	4.996516e+000	1.393801e-001
9.079535891362766e-007	4.996628e+000	1.348694e-001
9.118107319934198e-007	4.996737e+000	1.305067e-001
9.156678748505629e-007	4.996843e+000	1.262919e-001
9.195250177077060e-007	4.996944e+000	1.222250e-001
9.196250177077061e-007	4.996947e+000	1.221210e-001
9.303821605648384e-007	4.997210e+000	1.116157e-001
9.411393034219707e-007	4.997453e+000	1.018607e-001
9.518964462791030e-007	4.997679e+000	9.285584e-002
9.626535891362353e-007	4.997885e+000	8.460122e-002
9.734107319933678e-007	4.998073e+000	7.709683e-002
9.841678748505000e-007	4.998242e+000	7.034266e-002
9.949250177076323e-007	4.998392e+000	6.433871e-002
9.987821605647672e-007	4.998443e+000	6.226612e-002
1.002639303421902e-006	4.998494e+000	6.025542e-002
1.006496446279037e-006	4.998542e+000	5.830660e-002
1.010353589136172e-006	4.998590e+000	5.641966e-002
1.014210731993307e-006	4.998635e+000	5.459460e-002
1.018067874850442e-006	4.998679e+000	5.283143e-002
1.021925017707577e-006	4.998722e+000	5.113015e-002
1.022025017707577e-006	4.998723e+000	5.108665e-002
1.025996446278997e-006	4.998765e+000	4.939326e-002
1.029967874850418e-006	4.998806e+000	4.775179e-002
1.033939303421838e-006	4.998846e+000	4.616224e-002
1.037910731993259e-006	4.998884e+000	4.462460e-002
1.041882160564679e-006	4.998921e+000	4.313889e-002
1.045853589136100e-006	4.998957e+000	4.170510e-002
1.049825017707520e-006	4.998992e+000	4.032322e-002
1.049925017707520e-006	4.998993e+000	4.028891e-002
1.050000000000000e-006	4.998993e+000	4.026321e-002
